ENSG00000121644.17	DESI2
ENSG00000076053.9	RBM7
ENSG00000115808.10	STRN
ENSG00000165688.10	PMPCA
ENSG00000109083.12	IFT20
ENSG00000092964.15	DPYSL2
ENSG00000081870.10	HSPB11
ENSG00000169871.11	TRIM56
ENSG00000262049.1	
ENSG00000148655.13	LRMDA
ENSG00000100767.14	PAPLN
ENSG00000272829.1	
ENSG00000131788.14	PIAS3
ENSG00000112249.12	ASCC3
ENSG00000182168.13	UNC5C
ENSG00000172172.6	MRPL13
ENSG00000214046.7	SMIM7
ENSG00000267855.4	NDUFA7
ENSG00000169398.18	PTK2
ENSG00000095139.12	ARCN1
ENSG00000071246.9	VASH1
ENSG00000122783.15	CYREN
ENSG00000011143.15	MKS1
ENSG00000105612.7	DNASE2
ENSG00000213920.7	MDP1
ENSG00000161513.10	FDXR
ENSG00000263597.1	
ENSG00000273619.1	
ENSG00000178307.8	TMEM11
ENSG00000128654.12	MTX2
ENSG00000124171.7	PARD6B
ENSG00000087053.17	MTMR2
ENSG00000211450.8	SELENOH
ENSG00000102753.8	KPNA3
ENSG00000090273.12	NUDC
ENSG00000196247.10	ZNF107
ENSG00000136856.16	SLC2A8
ENSG00000267395.4	
ENSG00000251669.4	
ENSG00000172765.15	TMCC1
ENSG00000139174.9	PRICKLE1
ENSG00000109084.12	TMEM97
ENSG00000153446.14	C16orf89
ENSG00000070614.13	NDST1
ENSG00000101150.16	TPD52L2
ENSG00000256053.6	COA8
ENSG00000161981.9	SNRNP25
ENSG00000109458.7	GAB1
ENSG00000119681.10	LTBP2
ENSG00000108666.8	C17orf75
ENSG00000275645.1	
ENSG00000025293.14	PHF20
ENSG00000164176.11	EDIL3
ENSG00000214050.6	FBXO16
ENSG00000150093.17	ITGB1
ENSG00000100575.12	TIMM9
ENSG00000150938.8	CRIM1
ENSG00000198742.8	SMURF1
ENSG00000010219.12	DYRK4
ENSG00000123416.14	TUBA1B
ENSG00000255337.1	
ENSG00000214293.7	
ENSG00000185442.11	FAM174B
ENSG00000168014.15	C2CD3
ENSG00000168016.12	TRANK1
ENSG00000131389.15	SLC6A6
ENSG00000152894.13	PTPRK
ENSG00000121073.12	SLC35B1
ENSG00000204954.8	C12orf73
ENSG00000106546.11	AHR
ENSG00000172409.5	CLP1
ENSG00000108578.13	BLMH
ENSG00000104863.10	LIN7B
ENSG00000074842.6	MYDGF
ENSG00000270659.1	
ENSG00000012061.14	ERCC1
ENSG00000064300.7	NGFR
ENSG00000084764.9	MAPRE3
ENSG00000158352.14	SHROOM4
ENSG00000141854.6	MISP3
ENSG00000142534.5	RPS11
ENSG00000132334.15	PTPRE
ENSG00000138758.10	SEPTIN11
ENSG00000275832.3	ARHGAP23
ENSG00000161970.11	RPL26
ENSG00000235912.1	
ENSG00000188010.11	MORN2
ENSG00000167861.14	HID1
ENSG00000116489.11	CAPZA1
ENSG00000143776.17	CDC42BPA
ENSG00000104067.15	TJP1
ENSG00000108528.12	SLC25A11
ENSG00000090661.10	CERS4
ENSG00000269313.4	MAGIX
ENSG00000106144.18	CASP2
ENSG00000129566.11	TEP1
ENSG00000132475.7	H3-3B
ENSG00000145715.13	RASA1
ENSG00000178202.11	POGLUT3
ENSG00000104691.13	UBXN8
ENSG00000080608.9	PUM3
ENSG00000126768.11	TIMM17B
ENSG00000063241.6	ISOC2
ENSG00000158636.15	EMSY
ENSG00000110237.3	ARHGEF17
ENSG00000214517.7	PPME1
ENSG00000267419.1	
ENSG00000156831.6	NSMCE2
ENSG00000120256.8	LRP11
ENSG00000162302.11	RPS6KA4
ENSG00000161395.11	PGAP3
ENSG00000064652.9	SNX24
ENSG00000215845.9	TSTD1
ENSG00000133116.7	KL
ENSG00000144668.10	ITGA9
ENSG00000166681.12	BEX3
ENSG00000186591.10	UBE2H
ENSG00000122679.7	RAMP3
ENSG00000172428.9	COPS9
ENSG00000213694.3	S1PR3
ENSG00000106948.15	AKNA
ENSG00000170310.13	STX8
ENSG00000125652.6	ALKBH7
ENSG00000108465.13	CDK5RAP3
ENSG00000072778.18	ACADVL
ENSG00000100934.13	SEC23A
ENSG00000109790.15	KLHL5
ENSG00000127334.10	DYRK2
ENSG00000130244.11	FAM98C
ENSG00000185274.10	GALNT17
ENSG00000065485.16	PDIA5
ENSG00000091136.12	LAMB1
ENSG00000231770.4	
ENSG00000144120.11	TMEM177
ENSG00000114019.13	AMOTL2
ENSG00000170271.9	FAXDC2
ENSG00000130203.8	APOE
ENSG00000175215.8	CTDSP2
ENSG00000127946.15	HIP1
ENSG00000163754.16	GYG1
ENSG00000091640.6	SPAG7
ENSG00000151322.17	NPAS3
ENSG00000121413.11	ZSCAN18
ENSG00000159110.18	IFNAR2
ENSG00000188603.15	CLN3
ENSG00000157557.10	ETS2
ENSG00000141504.10	SAT2
ENSG00000105854.11	PON2
ENSG00000171055.13	FEZ2
ENSG00000068097.13	HEATR6
ENSG00000137288.8	UQCC2
ENSG00000085662.12	AKR1B1
ENSG00000125351.9	UPF3B
ENSG00000182899.13	RPL35A
ENSG00000144591.16	GMPPA
ENSG00000147852.14	VLDLR
ENSG00000260708.1	
ENSG00000213246.5	SUPT4H1
ENSG00000148411.6	NACC2
ENSG00000170027.6	YWHAG
ENSG00000113811.9	SELENOK
ENSG00000144730.15	IL17RD
ENSG00000197702.10	PARVA
ENSG00000163820.13	FYCO1
ENSG00000166716.8	ZNF592
ENSG00000236155.5	
ENSG00000143727.14	ACP1
ENSG00000140396.11	NCOA2
ENSG00000124151.17	NCOA3
ENSG00000156599.9	ZDHHC5
ENSG00000102572.13	STK24
ENSG00000112651.10	MRPL2
ENSG00000129083.11	COPB1
ENSG00000137831.13	UACA
ENSG00000129116.16	PALLD
ENSG00000124839.11	RAB17
ENSG00000176422.12	SPRYD4
ENSG00000149547.13	EI24
ENSG00000076351.11	SLC46A1
ENSG00000271133.4	
ENSG00000081087.13	OSTM1
ENSG00000165644.9	COMTD1
ENSG00000138629.14	UBL7
ENSG00000149257.12	SERPINH1
ENSG00000035403.15	VCL
ENSG00000163249.8	CCNYL1
ENSG00000074071.12	MRPS34
ENSG00000272564.1	
ENSG00000159199.12	ATP5MC1
ENSG00000270673.1	
ENSG00000134020.7	PEBP4
ENSG00000134780.8	DAGLA
ENSG00000099800.6	TIMM13
ENSG00000116786.10	PLEKHM2
ENSG00000163872.14	YEATS2
ENSG00000135469.12	COQ10A
ENSG00000162804.12	SNED1
ENSG00000104884.13	ERCC2
ENSG00000166295.7	ANAPC16
ENSG00000128463.11	EMC4
ENSG00000250317.7	SMIM20
ENSG00000184990.11	SIVA1
ENSG00000131626.14	PPFIA1
ENSG00000135763.8	URB2
ENSG00000233493.3	TMEM238
ENSG00000154930.13	ACSS1
ENSG00000248508.5	
ENSG00000129255.13	MPDU1
ENSG00000058091.15	CDK14
ENSG00000137100.14	DCTN3
ENSG00000091129.18	NRCAM
ENSG00000122378.12	PRXL2A
ENSG00000178802.16	MPI
ENSG00000006756.14	ARSD
ENSG00000163703.16	CRELD1
ENSG00000272482.1	
ENSG00000112584.12	FAM120B
ENSG00000141127.13	PRPSAP2
ENSG00000175505.10	CLCF1
ENSG00000115286.18	NDUFS7
ENSG00000172059.9	KLF11
ENSG00000160131.12	VMA21
ENSG00000166598.11	HSP90B1
ENSG00000147650.10	LRP12
ENSG00000111252.9	SH2B3
ENSG00000134153.8	EMC7
ENSG00000273061.1	
ENSG00000164405.9	UQCRQ
ENSG00000100154.13	TTC28
ENSG00000204439.3	C6orf47
ENSG00000104643.8	MTMR9
ENSG00000214087.7	ARL16
ENSG00000113712.15	CSNK1A1
ENSG00000180370.9	PAK2
ENSG00000188021.8	UBQLN2
ENSG00000150990.6	DHX37
ENSG00000122786.18	CALD1
ENSG00000130340.13	SNX9
ENSG00000176095.10	IP6K1
ENSG00000166965.11	RCCD1
ENSG00000122642.9	FKBP9
ENSG00000272009.1	
ENSG00000255145.2	
ENSG00000114251.12	WNT5A
ENSG00000133816.12	MICAL2
ENSG00000279140.1	
ENSG00000121897.12	LIAS
ENSG00000131495.7	NDUFA2
ENSG00000133812.13	SBF2
ENSG00000105472.11	CLEC11A
ENSG00000141026.5	MED9
ENSG00000204217.11	BMPR2
ENSG00000203865.8	
ENSG00000259856.1	
ENSG00000181982.16	CCDC149
ENSG00000163961.4	RNF168
ENSG00000176209.10	SMIM19
ENSG00000173548.8	SNX33
ENSG00000139146.12	SINHCAF
ENSG00000159131.15	GART
ENSG00000017260.18	ATP2C1
ENSG00000176401.5	EID2B
ENSG00000214113.9	LYRM4
ENSG00000116151.12	MORN1
ENSG00000228474.4	OST4
ENSG00000105849.5	TWISTNB
ENSG00000117519.14	CNN3
ENSG00000104611.10	SH2D4A
ENSG00000147123.10	NDUFB11
ENSG00000104613.10	INTS10
ENSG00000167699.12	GLOD4
ENSG00000124191.16	TOX2
ENSG00000124104.17	SNX21
ENSG00000155660.9	PDIA4
ENSG00000083838.14	ZNF446
ENSG00000073712.12	FERMT2
ENSG00000133678.12	TMEM254
ENSG00000116679.14	IVNS1ABP
ENSG00000205730.6	ITPRIPL2
ENSG00000162923.13	WDR26
ENSG00000117410.12	ATP6V0B
ENSG00000088970.14	KIZ
ENSG00000168461.11	RAB31
ENSG00000168734.12	PKIG
ENSG00000120438.10	TCP1
ENSG00000161956.11	SENP3
ENSG00000247400.3	
ENSG00000197461.12	PDGFA
ENSG00000126767.16	ELK1
ENSG00000069122.17	ADGRF5
ENSG00000264107.1	
ENSG00000125656.7	CLPP
ENSG00000100577.17	GSTZ1
ENSG00000129559.11	NEDD8
ENSG00000196663.14	TECPR2
ENSG00000118523.5	CCN2
ENSG00000263563.4	
ENSG00000181274.6	FRAT2
ENSG00000112559.12	MDFI
ENSG00000259605.3	
ENSG00000086015.19	MAST2
ENSG00000213516.8	RBMXL1
ENSG00000134313.13	KIDINS220
ENSG00000141642.7	ELAC1
ENSG00000245556.2	
ENSG00000163814.6	CDCP1
ENSG00000225190.7	PLEKHM1
ENSG00000118369.11	USP35
ENSG00000204568.10	
ENSG00000197728.8	RPS26
ENSG00000148158.15	SNX30
ENSG00000127445.12	PIN1
ENSG00000131236.15	CAP1
ENSG00000273456.1	
ENSG00000084234.15	APLP2
ENSG00000183617.4	MRPL54
ENSG00000101246.18	ARFRP1
ENSG00000163378.12	EOGT
ENSG00000137693.12	YAP1
ENSG00000272172.1	
ENSG00000137492.6	THAP12
ENSG00000091947.8	TMEM101
ENSG00000107731.11	UNC5B
ENSG00000075420.11	FNDC3B
ENSG00000072864.11	NDE1
ENSG00000204438.9	GPANK1
ENSG00000175220.10	ARHGAP1
ENSG00000133983.13	COX16
ENSG00000101365.19	IDH3B
ENSG00000107186.15	MPDZ
ENSG00000153827.12	TRIP12
ENSG00000144810.14	COL8A1
ENSG00000065621.13	GSTO2
ENSG00000184900.14	SUMO3
ENSG00000105552.13	BCAT2
ENSG00000124172.8	ATP5F1E
ENSG00000196083.8	IL1RAP
ENSG00000171453.16	POLR1C
ENSG00000141499.15	WRAP53
ENSG00000271869.1	
ENSG00000251994.1	
ENSG00000137331.11	IER3
ENSG00000149308.15	NPAT
ENSG00000184908.16	CLCNKB
ENSG00000101935.8	AMMECR1
ENSG00000136848.15	DAB2IP
ENSG00000171067.9	C11orf24
ENSG00000124562.8	SNRPC
ENSG00000114391.11	RPL24
ENSG00000173706.11	HEG1
ENSG00000123965.13	
ENSG00000109917.9	ZPR1
ENSG00000211455.6	STK38L
ENSG00000168610.13	STAT3
ENSG00000236618.2	
ENSG00000084676.14	NCOA1
ENSG00000142544.6	CTU1
ENSG00000104450.11	SPAG1
ENSG00000183853.16	KIRREL1
ENSG00000198680.4	TUSC1
ENSG00000111328.5	CDK2AP1
ENSG00000139428.10	MMAB
ENSG00000087152.14	ATXN7L3
ENSG00000197785.12	ATAD3A
ENSG00000010818.7	HIVEP2
ENSG00000112812.14	PRSS16
ENSG00000189227.5	C15orf61
ENSG00000125249.6	RAP2A
ENSG00000079739.14	PGM1
ENSG00000123130.15	ACOT9
ENSG00000157020.16	SEC13
ENSG00000101146.11	RAE1
ENSG00000277161.1	PIGW
ENSG00000272279.1	
ENSG00000132294.12	EFR3A
ENSG00000196924.13	FLNA
ENSG00000214182.5	
ENSG00000121851.11	POLR3GL
ENSG00000261183.4	
ENSG00000105402.6	NAPA
ENSG00000136048.12	DRAM1
ENSG00000125901.5	MRPS26
ENSG00000116885.17	OSCP1
ENSG00000234694.1	
ENSG00000064545.13	TMEM161A
ENSG00000141759.13	TXNL4A
ENSG00000112312.8	GMNN
ENSG00000105518.12	TMEM205
ENSG00000173905.7	GOLIM4
ENSG00000156671.11	SAMD8
ENSG00000064995.15	TAF11
ENSG00000161281.9	COX7A1
ENSG00000166401.12	SERPINB8
ENSG00000134508.11	CABLES1
ENSG00000144233.8	AMMECR1L
ENSG00000157827.18	FMNL2
ENSG00000177370.4	TIMM22
ENSG00000130005.10	GAMT
ENSG00000133985.2	TTC9
ENSG00000278058.1	
ENSG00000182022.16	CHST15
ENSG00000135341.16	MAP3K7
ENSG00000169282.16	KCNAB1
ENSG00000141698.15	NT5C3B
ENSG00000127540.10	UQCR11
ENSG00000163040.13	CCDC74A
ENSG00000134294.12	SLC38A2
ENSG00000232559.3	
ENSG00000112419.13	PHACTR2
ENSG00000260625.2	
ENSG00000123094.14	RASSF8
ENSG00000131504.14	DIAPH1
ENSG00000144724.17	PTPRG
ENSG00000188868.12	ZNF563
ENSG00000155090.13	KLF10
ENSG00000213741.7	RPS29
ENSG00000026297.14	RNASET2
ENSG00000213015.7	ZNF580
ENSG00000196116.7	TDRD7
ENSG00000059691.10	GATB
ENSG00000266916.4	
ENSG00000162341.14	TPCN2
ENSG00000186174.11	BCL9L
ENSG00000187193.8	MT1X
ENSG00000179588.7	ZFPM1
ENSG00000159388.5	BTG2
ENSG00000203875.9	
ENSG00000270170.1	NCBP2AS2
ENSG00000205189.10	ZBTB10
ENSG00000153317.13	ASAP1
ENSG00000002834.16	LASP1
ENSG00000198918.7	RPL39
ENSG00000108551.4	RASD1
ENSG00000147383.9	NSDHL
ENSG00000135919.11	SERPINE2
ENSG00000105583.8	WDR83OS
ENSG00000151694.11	ADAM17
ENSG00000086848.13	ALG9
ENSG00000135317.11	SNX14
ENSG00000198258.9	UBL5
ENSG00000265996.1	
ENSG00000142166.11	IFNAR1
ENSG00000198286.8	CARD11
ENSG00000143578.14	CREB3L4
ENSG00000142546.12	NOSIP
ENSG00000141027.19	NCOR1
ENSG00000143669.12	LYST
ENSG00000008086.9	CDKL5
ENSG00000165502.6	RPL36AL
ENSG00000127990.14	SGCE
ENSG00000008283.14	CYB561
ENSG00000131475.5	VPS25
ENSG00000235084.3	
ENSG00000196476.10	C20orf96
ENSG00000214535.3	
ENSG00000185909.13	KLHDC8B
ENSG00000140948.10	ZCCHC14
ENSG00000167202.10	TBC1D2B
ENSG00000185818.7	NAT8L
ENSG00000067182.6	TNFRSF1A
ENSG00000044115.19	CTNNA1
ENSG00000125247.14	TMTC4
ENSG00000125877.11	ITPA
ENSG00000186635.13	ARAP1
ENSG00000139132.13	FGD4
ENSG00000153896.16	ZNF599
ENSG00000138814.15	PPP3CA
ENSG00000134318.12	ROCK2
ENSG00000267321.1	
ENSG00000127995.15	CASD1
ENSG00000182118.5	FAM89A
ENSG00000166439.5	RNF169
ENSG00000038532.13	CLEC16A
ENSG00000129657.13	SEC14L1
ENSG00000162585.15	FAAP20
ENSG00000100426.6	ZBED4
ENSG00000273702.1	
ENSG00000280254.1	
ENSG00000111737.10	RAB35
ENSG00000164258.10	NDUFS4
ENSG00000068354.14	TBC1D25
ENSG00000132879.12	FBXO44
ENSG00000007255.9	TRAPPC6A
ENSG00000178922.15	HYI
ENSG00000154845.14	PPP4R1
ENSG00000154380.15	ENAH
ENSG00000128944.12	KNSTRN
ENSG00000178694.8	NSUN3
ENSG00000167363.12	FN3K
ENSG00000187231.12	SESTD1
ENSG00000110880.9	CORO1C
ENSG00000215067.8	
ENSG00000136451.7	VEZF1
ENSG00000267454.4	
ENSG00000173960.11	UBXN2A
ENSG00000198730.6	CTR9
ENSG00000178096.8	BOLA1
ENSG00000172590.17	MRPL52
ENSG00000205138.3	SDHAF1
ENSG00000092068.17	SLC7A8
ENSG00000270761.1	
ENSG00000178449.7	COX14
ENSG00000110330.7	BIRC2
ENSG00000132004.11	FBXW9
ENSG00000178209.13	PLEC
ENSG00000268403.2	
ENSG00000171953.14	ATPAF2
ENSG00000107863.15	ARHGAP21
ENSG00000231119.2	
